fit 112 | relfit 2.8 | nants: 40 | use-phermn #f | drop-amt 3 | decay-amt 3
fit 246 | relfit 6.15 | nants: 40 | use-phermn #t | drop-amt 3 | decay-amt 5
fit 120 | relfit 3.0 | nants: 40 | use-phermn #f | drop-amt 3 | decay-amt 5
fit 195 | relfit 4.875 | nants: 40 | use-phermn #t | drop-amt 3 | decay-amt 7
fit 131 | relfit 3.275 | nants: 40 | use-phermn #f | drop-amt 3 | decay-amt 7
fit 161 | relfit 4.025 | nants: 40 | use-phermn #t | drop-amt 3 | decay-amt 9
fit 119 | relfit 2.975 | nants: 40 | use-phermn #f | drop-amt 3 | decay-amt 9
fit 141 | relfit 3.525 | nants: 40 | use-phermn #t | drop-amt 3 | decay-amt 11
fit 125 | relfit 3.125 | nants: 40 | use-phermn #f | drop-amt 3 | decay-amt 11
fit 281 | relfit 7.025 | nants: 40 | use-phermn #t | drop-amt 5 | decay-amt 3
fit 130 | relfit 3.25 | nants: 40 | use-phermn #f | drop-amt 5 | decay-amt 3
fit 283 | relfit 7.075 | nants: 40 | use-phermn #t | drop-amt 5 | decay-amt 5
fit 126 | relfit 3.15 | nants: 40 | use-phermn #f | drop-amt 5 | decay-amt 5
fit 135 | relfit 3.375 | nants: 40 | use-phermn #t | drop-amt 5 | decay-amt 7
fit 113 | relfit 2.825 | nants: 40 | use-phermn #f | drop-amt 5 | decay-amt 7
fit 285 | relfit 7.125 | nants: 40 | use-phermn #t | drop-amt 5 | decay-amt 9
fit 115 | relfit 2.875 | nants: 40 | use-phermn #f | drop-amt 5 | decay-amt 9
fit 269 | relfit 6.725 | nants: 40 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 115 | relfit 2.875 | nants: 40 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 255 | relfit 6.375 | nants: 40 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 130 | relfit 3.25 | nants: 40 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 252 | relfit 6.3 | nants: 40 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 123 | relfit 3.075 | nants: 40 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 212 | relfit 5.3 | nants: 40 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 127 | relfit 3.175 | nants: 40 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 273 | relfit 6.825 | nants: 40 | use-phermn #t | drop-amt 7 | decay-amt 9
fit 141 | relfit 3.525 | nants: 40 | use-phermn #f | drop-amt 7 | decay-amt 9
fit 242 | relfit 6.05 | nants: 40 | use-phermn #t | drop-amt 7 | decay-amt 11
fit 114 | relfit 2.85 | nants: 40 | use-phermn #f | drop-amt 7 | decay-amt 11
fit 297 | relfit 7.425 | nants: 40 | use-phermn #t | drop-amt 9 | decay-amt 3
fit 127 | relfit 3.175 | nants: 40 | use-phermn #f | drop-amt 9 | decay-amt 3
fit 262 | relfit 6.55 | nants: 40 | use-phermn #t | drop-amt 9 | decay-amt 5
fit 116 | relfit 2.9 | nants: 40 | use-phermn #f | drop-amt 9 | decay-amt 5
fit 275 | relfit 6.875 | nants: 40 | use-phermn #t | drop-amt 9 | decay-amt 7
fit 135 | relfit 3.375 | nants: 40 | use-phermn #f | drop-amt 9 | decay-amt 7
fit 251 | relfit 6.275 | nants: 40 | use-phermn #t | drop-amt 9 | decay-amt 9
fit 125 | relfit 3.125 | nants: 40 | use-phermn #f | drop-amt 9 | decay-amt 9
fit 264 | relfit 6.6 | nants: 40 | use-phermn #t | drop-amt 9 | decay-amt 11
fit 119 | relfit 2.975 | nants: 40 | use-phermn #f | drop-amt 9 | decay-amt 11
fit 243 | relfit 6.075 | nants: 40 | use-phermn #t | drop-amt 11 | decay-amt 3
fit 125 | relfit 3.125 | nants: 40 | use-phermn #f | drop-amt 11 | decay-amt 3
fit 276 | relfit 6.9 | nants: 40 | use-phermn #t | drop-amt 11 | decay-amt 5
fit 129 | relfit 3.225 | nants: 40 | use-phermn #f | drop-amt 11 | decay-amt 5
fit 272 | relfit 6.8 | nants: 40 | use-phermn #t | drop-amt 11 | decay-amt 7
fit 104 | relfit 2.6 | nants: 40 | use-phermn #f | drop-amt 11 | decay-amt 7
fit 304 | relfit 7.6 | nants: 40 | use-phermn #t | drop-amt 11 | decay-amt 9
fit 115 | relfit 2.875 | nants: 40 | use-phermn #f | drop-amt 11 | decay-amt 9
fit 286 | relfit 7.15 | nants: 40 | use-phermn #t | drop-amt 11 | decay-amt 11
fit 131 | relfit 3.275 | nants: 40 | use-phermn #f | drop-amt 11 | decay-amt 11
fit 293 | relfit 5.86 | nants: 50 | use-phermn #t | drop-amt 3 | decay-amt 3
fit 140 | relfit 2.8 | nants: 50 | use-phermn #f | drop-amt 3 | decay-amt 3
fit 265 | relfit 5.3 | nants: 50 | use-phermn #t | drop-amt 3 | decay-amt 5
fit 133 | relfit 2.66 | nants: 50 | use-phermn #f | drop-amt 3 | decay-amt 5
fit 287 | relfit 5.74 | nants: 50 | use-phermn #t | drop-amt 3 | decay-amt 7
fit 145 | relfit 2.9 | nants: 50 | use-phermn #f | drop-amt 3 | decay-amt 7
fit 304 | relfit 6.08 | nants: 50 | use-phermn #t | drop-amt 3 | decay-amt 9
fit 146 | relfit 2.92 | nants: 50 | use-phermn #f | drop-amt 3 | decay-amt 9
fit 277 | relfit 5.54 | nants: 50 | use-phermn #t | drop-amt 3 | decay-amt 11
fit 156 | relfit 3.12 | nants: 50 | use-phermn #f | drop-amt 3 | decay-amt 11
fit 254 | relfit 5.08 | nants: 50 | use-phermn #t | drop-amt 5 | decay-amt 3
fit 132 | relfit 2.64 | nants: 50 | use-phermn #f | drop-amt 5 | decay-amt 3
fit 268 | relfit 5.36 | nants: 50 | use-phermn #t | drop-amt 5 | decay-amt 5
fit 134 | relfit 2.68 | nants: 50 | use-phermn #f | drop-amt 5 | decay-amt 5
fit 285 | relfit 5.7 | nants: 50 | use-phermn #t | drop-amt 5 | decay-amt 7
fit 147 | relfit 2.94 | nants: 50 | use-phermn #f | drop-amt 5 | decay-amt 7
fit 267 | relfit 5.34 | nants: 50 | use-phermn #t | drop-amt 5 | decay-amt 9
fit 144 | relfit 2.88 | nants: 50 | use-phermn #f | drop-amt 5 | decay-amt 9
fit 229 | relfit 4.58 | nants: 50 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 131 | relfit 2.62 | nants: 50 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 353 | relfit 7.06 | nants: 50 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 140 | relfit 2.8 | nants: 50 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 272 | relfit 5.44 | nants: 50 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 143 | relfit 2.86 | nants: 50 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 288 | relfit 5.76 | nants: 50 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 143 | relfit 2.86 | nants: 50 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 265 | relfit 5.3 | nants: 50 | use-phermn #t | drop-amt 7 | decay-amt 9
fit 140 | relfit 2.8 | nants: 50 | use-phermn #f | drop-amt 7 | decay-amt 9
fit 348 | relfit 6.96 | nants: 50 | use-phermn #t | drop-amt 7 | decay-amt 11
fit 140 | relfit 2.8 | nants: 50 | use-phermn #f | drop-amt 7 | decay-amt 11
fit 277 | relfit 5.54 | nants: 50 | use-phermn #t | drop-amt 9 | decay-amt 3
fit 123 | relfit 2.46 | nants: 50 | use-phermn #f | drop-amt 9 | decay-amt 3
fit 273 | relfit 5.46 | nants: 50 | use-phermn #t | drop-amt 9 | decay-amt 5
fit 147 | relfit 2.94 | nants: 50 | use-phermn #f | drop-amt 9 | decay-amt 5
fit 367 | relfit 7.34 | nants: 50 | use-phermn #t | drop-amt 9 | decay-amt 7
fit 148 | relfit 2.96 | nants: 50 | use-phermn #f | drop-amt 9 | decay-amt 7
fit 326 | relfit 6.52 | nants: 50 | use-phermn #t | drop-amt 9 | decay-amt 9
fit 150 | relfit 3.0 | nants: 50 | use-phermn #f | drop-amt 9 | decay-amt 9
fit 319 | relfit 6.38 | nants: 50 | use-phermn #t | drop-amt 9 | decay-amt 11
fit 141 | relfit 2.82 | nants: 50 | use-phermn #f | drop-amt 9 | decay-amt 11
fit 326 | relfit 6.52 | nants: 50 | use-phermn #t | drop-amt 11 | decay-amt 3
fit 147 | relfit 2.94 | nants: 50 | use-phermn #f | drop-amt 11 | decay-amt 3
fit 280 | relfit 5.6 | nants: 50 | use-phermn #t | drop-amt 11 | decay-amt 5
fit 142 | relfit 2.84 | nants: 50 | use-phermn #f | drop-amt 11 | decay-amt 5
